
--------------------------------------------------

Barrel_Shifter_32_Bit - Test

--------------------------------------------------


--------------------------------------------------

All Operations

--------------------------------------------------


--------------------------------------------------

[          20.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xc0895e81 , Shifted_Data_Out = 0xzzzzzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzzzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        3260.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x20769140 , Shifted_Data_Out = 0x40ed2280 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x40ed2280 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3280.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x7b0da9f6 , Shifted_Data_Out = 0xec36a7d9 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xec36a7d9 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3300.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x602831c0 , Shifted_Data_Out = 0x01418e03 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x01418e03 , tb_Carry_Out = 0x0 , Is_Same = 1

--------------------------------------------------

[        3320.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x1cde7139 , Shifted_Data_Out = 0xzzzzzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzzzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        3340.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x1e1c873c , Shifted_Data_Out = 0x1e1c873c , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x1e1c873c , tb_Carry_Out = 0x0 , Is_Same = 1
[        3360.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x3124d362 , Shifted_Data_Out = 0x189269b1 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x189269b1 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3380.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0xf0b14ee1 , Shifted_Data_Out = 0x7c2c53b8 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x7c2c53b8 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3400.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xa18bee43 , Shifted_Data_Out = 0x74317dc8 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x74317dc8 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3420.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0xc3360486 , Shifted_Data_Out = 0xc3360486 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xc3360486 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3440.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x60f69dc1 , Shifted_Data_Out = 0xb07b4ee0 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xb07b4ee0 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3460.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0xad67e25a , Shifted_Data_Out = 0xab59f896 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xab59f896 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3480.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x165b7b2c , Shifted_Data_Out = 0x82cb6f65 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x82cb6f65 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3500.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xb8ade671 , Shifted_Data_Out = 0xb8ade671 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xb8ade671 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3520.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x5b60e5b6 , Shifted_Data_Out = 0x2db072db , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x2db072db , tb_Carry_Out = 0x0 , Is_Same = 1
[        3540.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0xcf14ce9e , Shifted_Data_Out = 0xb3c533a7 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xb3c533a7 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3560.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x2ab8f755 , Shifted_Data_Out = 0xa5571eea , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xa5571eea , tb_Carry_Out = 0x0 , Is_Same = 1
[        3580.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xd00b12a0 , Shifted_Data_Out = 0xd00b12a0 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xd00b12a0 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3600.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0xda3d8cb4 , Shifted_Data_Out = 0x6d1ec65a , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x6d1ec65a , tb_Carry_Out = 0x0 , Is_Same = 1
[        3620.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x86dcf00d , Shifted_Data_Out = 0x61b73c03 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x61b73c03 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3640.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xbccc4279 , Shifted_Data_Out = 0x3799884f , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x3799884f , tb_Carry_Out = 0x0 , Is_Same = 1
[        3660.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xfef064fd , Shifted_Data_Out = 0xfef064fd , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xfef064fd , tb_Carry_Out = 0x0 , Is_Same = 1
[        3680.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x47e2738f , Shifted_Data_Out = 0xa3f139c7 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xa3f139c7 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3700.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x71c129e3 , Shifted_Data_Out = 0xdc704a78 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xdc704a78 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3720.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x58f93db1 , Shifted_Data_Out = 0x2b1f27b6 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x2b1f27b6 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3740.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xca9cbc95 , Shifted_Data_Out = 0xca9cbc95 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xca9cbc95 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3760.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0xf6a178ed , Shifted_Data_Out = 0xfb50bc76 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xfb50bc76 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3780.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x7c1e5bf8 , Shifted_Data_Out = 0x1f0796fe , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x1f0796fe , tb_Carry_Out = 0x0 , Is_Same = 1
[        3800.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xa95fc452 , Shifted_Data_Out = 0x552bf88a , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x552bf88a , tb_Carry_Out = 0x0 , Is_Same = 1
[        3820.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x236afd46 , Shifted_Data_Out = 0x236afd46 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x236afd46 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3840.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x48487d90 , Shifted_Data_Out = 0x24243ec8 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x24243ec8 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3860.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x352d616a , Shifted_Data_Out = 0x8d4b585a , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x8d4b585a , tb_Carry_Out = 0x0 , Is_Same = 1
[        3880.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0xd55bbcaa , Shifted_Data_Out = 0x5aab7795 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x5aab7795 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3900.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xb0520260 , Shifted_Data_Out = 0xb0520260 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xb0520260 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3920.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0xc5a1608b , Shifted_Data_Out = 0xe2d0b045 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xe2d0b045 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3940.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x92831e25 , Shifted_Data_Out = 0x64a0c789 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x64a0c789 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3960.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0xd10504a2 , Shifted_Data_Out = 0x5a20a094 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x5a20a094 , tb_Carry_Out = 0x0 , Is_Same = 1

--------------------------------------------------

[        3980.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x8a64b014 , Shifted_Data_Out = 0xzzzzzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzzzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        4000.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x25f2034b , Shifted_Data_Out = 0x25f2034b , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x25f2034b , tb_Carry_Out = 0x1 , Is_Same = 1
[        4020.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x23907547 , Shifted_Data_Out = 0x4720ea8e , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x4720ea8e , tb_Carry_Out = 0x0 , Is_Same = 1
[        4040.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x9caf7a39 , Shifted_Data_Out = 0x72bde8e5 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x72bde8e5 , tb_Carry_Out = 0x0 , Is_Same = 1
[        4060.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x6851e5d0 , Shifted_Data_Out = 0x428f2e81 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x428f2e81 , tb_Carry_Out = 0x1 , Is_Same = 1
[        4080.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x467c458c , Shifted_Data_Out = 0x467c458c , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x467c458c , tb_Carry_Out = 0x0 , Is_Same = 1
[        4100.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0xb522406a , Shifted_Data_Out = 0x6a4480d5 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x6a4480d5 , tb_Carry_Out = 0x1 , Is_Same = 1
[        4120.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x746affe8 , Shifted_Data_Out = 0xd1abffa2 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0xd1abffa2 , tb_Carry_Out = 0x1 , Is_Same = 1
[        4140.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x39e48173 , Shifted_Data_Out = 0xcf240b9c , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0xcf240b9c , tb_Carry_Out = 0x1 , Is_Same = 1
[        4160.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x11fe0523 , Shifted_Data_Out = 0x11fe0523 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x11fe0523 , tb_Carry_Out = 0x0 , Is_Same = 1
[        4180.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x64e165c9 , Shifted_Data_Out = 0xc9c2cb92 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xc9c2cb92 , tb_Carry_Out = 0x0 , Is_Same = 1
[        4200.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0xef8372df , Shifted_Data_Out = 0xbe0dcb7f , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0xbe0dcb7f , tb_Carry_Out = 0x1 , Is_Same = 1
[        4220.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x33836567 , Shifted_Data_Out = 0x9c1b2b38 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x9c1b2b38 , tb_Carry_Out = 0x1 , Is_Same = 1
[        4240.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x583125b0 , Shifted_Data_Out = 0x583125b0 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x583125b0 , tb_Carry_Out = 0x1 , Is_Same = 1
[        4260.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x24d2bf49 , Shifted_Data_Out = 0x49a57e92 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x49a57e92 , tb_Carry_Out = 0x0 , Is_Same = 1
[        4280.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x1000b720 , Shifted_Data_Out = 0x4002dc82 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x4002dc82 , tb_Carry_Out = 0x0 , Is_Same = 1
[        4300.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x49b16f93 , Shifted_Data_Out = 0x4d8b7c99 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x4d8b7c99 , tb_Carry_Out = 0x0 , Is_Same = 1
[        4320.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x954b822a , Shifted_Data_Out = 0x954b822a , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x954b822a , tb_Carry_Out = 0x1 , Is_Same = 1
[        4340.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0xaed72e5d , Shifted_Data_Out = 0x5dae5cba , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x5dae5cba , tb_Carry_Out = 0x1 , Is_Same = 1
[        4360.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x4226a984 , Shifted_Data_Out = 0x089aa610 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x089aa610 , tb_Carry_Out = 0x1 , Is_Same = 1
[        4380.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x1c8d7f39 , Shifted_Data_Out = 0xe46bf9cc , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xe46bf9cc , tb_Carry_Out = 0x0 , Is_Same = 1
[        4400.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xa97f0052 , Shifted_Data_Out = 0xa97f0052 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xa97f0052 , tb_Carry_Out = 0x0 , Is_Same = 1
[        4420.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0xe82b96d0 , Shifted_Data_Out = 0xd0572da1 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0xd0572da1 , tb_Carry_Out = 0x1 , Is_Same = 1
[        4440.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x4bf52997 , Shifted_Data_Out = 0x2fd4a65c , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x2fd4a65c , tb_Carry_Out = 0x1 , Is_Same = 1
[        4460.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x535277a6 , Shifted_Data_Out = 0x9a93bd35 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x9a93bd35 , tb_Carry_Out = 0x0 , Is_Same = 1
[        4480.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x80797c00 , Shifted_Data_Out = 0x80797c00 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x80797c00 , tb_Carry_Out = 0x1 , Is_Same = 1
[        4500.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0xb4e8d669 , Shifted_Data_Out = 0x69d1acd3 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x69d1acd3 , tb_Carry_Out = 0x1 , Is_Same = 1
[        4520.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x2ca81959 , Shifted_Data_Out = 0xb2a06564 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xb2a06564 , tb_Carry_Out = 0x0 , Is_Same = 1
[        4540.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x67d735cf , Shifted_Data_Out = 0x3eb9ae7d , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x3eb9ae7d , tb_Carry_Out = 0x1 , Is_Same = 1
[        4560.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xa8e4d851 , Shifted_Data_Out = 0xa8e4d851 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xa8e4d851 , tb_Carry_Out = 0x0 , Is_Same = 1
[        4580.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x3b83cd77 , Shifted_Data_Out = 0x77079aef , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x77079aef , tb_Carry_Out = 0x0 , Is_Same = 1
[        4600.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xec3758d8 , Shifted_Data_Out = 0xb0dd6361 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0xb0dd6361 , tb_Carry_Out = 0x1 , Is_Same = 1
[        4620.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xe20e9ac4 , Shifted_Data_Out = 0x1074d627 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x1074d627 , tb_Carry_Out = 0x1 , Is_Same = 1

--------------------------------------------------

[        4640.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xdbe6f2b7 , Shifted_Data_Out = 0xzzzzzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzzzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        4660.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x984d5a30 , Shifted_Data_Out = 0x984d5a30 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x984d5a30 , tb_Carry_Out = 0x0 , Is_Same = 1
[        4680.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x5ad6c7b5 , Shifted_Data_Out = 0xad6b63da , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0xad6b63da , tb_Carry_Out = 0x1 , Is_Same = 1
[        4700.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x03878707 , Shifted_Data_Out = 0x80e1e1c1 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x80e1e1c1 , tb_Carry_Out = 0x1 , Is_Same = 1
[        4720.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x74a1ade9 , Shifted_Data_Out = 0x4e9435bd , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x4e9435bd , tb_Carry_Out = 0x0 , Is_Same = 1
[        4740.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x00f25f01 , Shifted_Data_Out = 0x00f25f01 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x00f25f01 , tb_Carry_Out = 0x1 , Is_Same = 1
[        4760.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0xc0764280 , Shifted_Data_Out = 0xe03b2140 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xe03b2140 , tb_Carry_Out = 0x0 , Is_Same = 1
[        4780.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xe2ecdac5 , Shifted_Data_Out = 0xb8bb36b1 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xb8bb36b1 , tb_Carry_Out = 0x0 , Is_Same = 1
[        4800.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0xd7b2e4af , Shifted_Data_Out = 0xdaf65c95 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0xdaf65c95 , tb_Carry_Out = 0x1 , Is_Same = 1
[        4820.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x57fbb9af , Shifted_Data_Out = 0x57fbb9af , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x57fbb9af , tb_Carry_Out = 0x0 , Is_Same = 1
[        4840.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x7c41aff8 , Shifted_Data_Out = 0xbe20d7fc , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xbe20d7fc , tb_Carry_Out = 0x0 , Is_Same = 1
[        4860.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xf78576ef , Shifted_Data_Out = 0xbde15dbb , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0xbde15dbb , tb_Carry_Out = 0x1 , Is_Same = 1
